activity_id,transaction_type_code,currency,total_amount,first_date,last_date
XM-DAC-46004-52174-002-LN4192,2,USD,30000000.00,2023-09-30,2023-09-30
XM-DAC-46004-52174-002-LN4192,5,USD,66854.40,2025-08-31,2025-08-31
XM-DAC-46004-49450-040-GRNT1002,2,USD,19000000.00,2023-09-30,2023-09-30
XM-DAC-46004-49450-040-GRNT1003,2,USD,700000.00,2023-09-30,2023-09-30
XM-DAC-46004-57015-001-LN8457,2,USD,10675000.00,2023-09-30,2023-09-30
XM-DAC-46004-57015-001-LN8457,5,USD,54116.32,2025-02-28,2025-08-31
XM-DAC-46004-57015-001-LN4359,2,USD,70600000.00,2023-09-30,2023-09-30
XM-DAC-46004-57015-001-LN4359,6,USD,2772899.53,2025-08-31,2025-08-31
XM-DAC-46004-57015-001-LN4359,5,USD,1223523.30,2025-08-31,2025-08-31
XM-DAC-46004-43207-013-LN8261,2,USD,100000000.00,2023-09-30,2023-09-30
XM-DAC-46004-43207-013-LN8261,6,USD,370611.15,2023-06-30,2025-08-31
XM-DAC-46004-43207-013-LN8261,5,USD,54665.15,2022-12-31,2025-08-31
XM-DAC-46004-43207-013-LN8261,1,USD,7412223.22,2014-01-13,2022-03-18
CA-3-P012251001,2,CAD,8150000.00,2024-01-30,2024-01-30
CA-3-P012251001,3,CAD,6038246.79,2024-02-20,2025-07-10
CA-3-P006828002,2,CAD,6000000.00,2023-03-29,2023-03-29
CA-3-P006828002,3,CAD,6000000.00,2023-03-29,2024-06-19
CA-3-P006828001,2,CAD,10000000.00,2020-03-18,2020-03-18
CA-3-P006828001,3,CAD,10000000.00,2020-03-26,2022-05-31
XM-DAC-46004-54452-001-LN4460,2,USD,360000000.00,2023-09-30,2023-09-30
XM-DAC-46004-54452-001-LN4460,3,USD,35983170.95,2024-10-31,2025-08-31
XM-DAC-46004-54452-001-LN4460,5,USD,18371.02,2025-06-30,2025-08-31
DE-1-201820935,2,EUR,5735309.24,2019-04-01,2019-04-01
DE-1-201820935,4,EUR,5735309.24,2021-05-30,2021-05-30
46002-P-GW-D00-004,2,XDR,5023816.16,1997-03-19,1997-03-19
46002-P-GW-D00-004,3,XDR,4263353.04,2009-12-31,2009-12-31
46002-P-GW-D00-004,5,XDR,452261.26,2009-12-31,2025-04-15
46002-P-GW-D00-004,6,XDR,4026926.23,2009-03-31,2025-04-15
46002-P-TN-D00-002,2,XDR,1070000.00,2014-04-18,2014-04-18
46002-P-TN-D00-002,3,XDR,7951.98,2015-06-30,2015-06-30
46002-P-Z1-D00-021,2,XDR,1366406.31,2013-03-15,2013-03-15
46002-P-Z1-D00-021,3,XDR,940727.33,2015-06-30,2016-12-31
