activity_id,default_finance_type_code
CA-3-A033048001,110
CA-3-A033236001,110
CA-3-A033266001,110
CA-3-A033293001,110
CA-3-A033339001,110
CA-3-A033344001,110
CA-3-A033348001,110
CA-3-A033419002,110
CA-3-A033419003,110
CA-3-A033435001,110
CA-3-A033455001,110
CA-3-A033457001,110
CA-3-A033457002,110
CA-3-A033535001,110
CA-3-A033535002,110
CA-3-A033540002,110
CA-3-A033542001,110
CA-3-A033546001,110
CA-3-A033607001,110
CA-3-A033609001,110
CA-3-A033696001,110
CA-3-A033812001,110
CA-3-A033866001,110
CA-3-A033886001,110
CA-3-A033911001,110
CA-3-A033911002,110
CA-3-A033911003,110
CA-3-A033983001,110
CA-3-A033986001,110
CA-3-A034026001,110
CA-3-A034026002,110
CA-3-A034028001,110
CA-3-A034031001,110
CA-3-A034037001,110
CA-3-A034220001,110
CA-3-A034222001,110
CA-3-A034242001,110
CA-3-A034242002,110
CA-3-A034335001,110
CA-3-A034372001,110
CA-3-A034460001,110
CA-3-A034461001,110
CA-3-A034462001,110
CA-3-A034462002,110
CA-3-A034485001,110
CA-3-A034521001,110
CA-3-A034537001,110
CA-3-A034537002,110
CA-3-A034537003,110
CA-3-A034540001,110
CA-3-A034541001,110
CA-3-A034541002,110
CA-3-A034541003,110
CA-3-A034552001,110
CA-3-A034573001,110
CA-3-A034575001,110
CA-3-A034583001,110
CA-3-A034585001,110
CA-3-A034588001,110
CA-3-A034591001,110
CA-3-A034599001,110
CA-3-A034601001,110
CA-3-A034613001,110
CA-3-A034613002,110
CA-3-A034674001,110
CA-3-A034700001,110
CA-3-A034701001,110
CA-3-A034722001,110
CA-3-A034775001,110
CA-3-A034775002,110
CA-3-A034782001,110
CA-3-A034782007,110
CA-3-A034782009,110
CA-3-A034792001,110
CA-3-A034807001,110
CA-3-A034853002,110
CA-3-A034855001,110
CA-3-A034872001,110
CA-3-A034889001,110
CA-3-A034895001,110
CA-3-A034947001,110
CA-3-A034948001,110
CA-3-A034976001,110
CA-3-A035002001,110
CA-3-A035048001,110
CA-3-A035048004,110
CA-3-A035060001,110
CA-3-A035101001,110
CA-3-A035121001,110
CA-3-A035152001,110
CA-3-A035155001,110
CA-3-A035171001,110
CA-3-A035184001,110
CA-3-A035194001,110
CA-3-A035205001,110
CA-3-A035207001,110
CA-3-A035207002,110
CA-3-A035219001,110
CA-3-A035227001,110
CA-3-A035241001,110
CA-3-A035324001,110
CA-3-A035326001,110
CA-3-A035331001,110
CA-3-A035342001,110
CA-3-A035388001,110
CA-3-A035411001,110
CA-3-A035427001,110
CA-3-A035428001,110
CA-3-A035430001,110
CA-3-A035430002,110
CA-3-A035436001,110
CA-3-A035476001,110
CA-3-A035476002,110
CA-3-A035495001,110
CA-3-A035511001,110
CA-3-A035513001,110
CA-3-A035539001,110
CA-3-A035555001,110
CA-3-A035564001,110
CA-3-A035580001,110
CA-3-D000022001,110
CA-3-D000026001,110
CA-3-D000030001,110
CA-3-D000032001,110
CA-3-D000049001,110
CA-3-D000062001,110
CA-3-D000062002,110
CA-3-D000076001,110
CA-3-D000112001,110
CA-3-D000115001,110
CA-3-D000119001,110
CA-3-D000126001,110
CA-3-D000137001,110
CA-3-D000139001,110
CA-3-D000166001,311
CA-3-D000166002,311
CA-3-D000174001,110
CA-3-D000211001,110
CA-3-D000263001,110
CA-3-D000269001,110
CA-3-D000284001,110
CA-3-D000299001,110
CA-3-D000301001,110
CA-3-D000305001,110
CA-3-D000359001,110
CA-3-D000385001,110
CA-3-D000414001,110
CA-3-D000421001,110
CA-3-D000460001,110
CA-3-D000724001,110
CA-3-D000756001,110
CA-3-D000762001,110
CA-3-D000770001,110
CA-3-D000771001,110
CA-3-D000772001,110
CA-3-D000789001,110
CA-3-D000790001,110
CA-3-D000791001,110
CA-3-D000797001,110
CA-3-D000832001,110
CA-3-D000937001,110
CA-3-D000940001,110
CA-3-D001001001,110
CA-3-D001028001,110
CA-3-D001035001,110
CA-3-D001039001,110
CA-3-D001054001,110
CA-3-D001056001,110
CA-3-D001063001,110
CA-3-D001083001,110
CA-3-D001473001,110
CA-3-D001483001,110
CA-3-D001516001,110
CA-3-D001607001,110
CA-3-D001619001,110
CA-3-D001623001,110
CA-3-D001628001,110
CA-3-D001628003,110
CA-3-D001636001,110
CA-3-D001641001,110
CA-3-D001642001,110
CA-3-D001646001,110
CA-3-D001672001,110
CA-3-D001709001,110
CA-3-D001709002,110
CA-3-D001952001,110
CA-3-D001954001,110
CA-3-D001965001,110
CA-3-D001974001,110
CA-3-D001984001,110
CA-3-D001988001,110
CA-3-D001994001,110
CA-3-D001995001,110
CA-3-D002000001,110
CA-3-D002058001,110
CA-3-D002186001,110
CA-3-D002198002,110
CA-3-D002296001,110
CA-3-D002308001,110
CA-3-D002411001,110
CA-3-D002420001,110
CA-3-D002424001,110
CA-3-D002426001,110
CA-3-D002430001,311
CA-3-D002449001,110
CA-3-D002451001,110
CA-3-D002455001,110
CA-3-D002568001,110
CA-3-D002569001,110
CA-3-D002581001,110
CA-3-D002591001,110
CA-3-D002597001,110
CA-3-D002621001,110
CA-3-D002669001,110
CA-3-D002703001,110
CA-3-D002714001,110
CA-3-D002731001,110
CA-3-D002768001,110
CA-3-D002858001,110
CA-3-D003183001,110
CA-3-D003316001,110
CA-3-D003320001,110
CA-3-D003363001,110
CA-3-D003366001,110
CA-3-D003611001,422
CA-3-D003611002,110
CA-3-D003613001,110
CA-3-D003668001,110
CA-3-D003709001,110
CA-3-D003747001,110
CA-3-D003787001,110
CA-3-D003831001,110
CA-3-D003838001,110
CA-3-D003844001,110
CA-3-D003860001,110
CA-3-D003984001,422
CA-3-D003995001,110
CA-3-D004168001,110
CA-3-D004176001,110
CA-3-D004267001,110
CA-3-D004274001,110
CA-3-D004279001,311
CA-3-D004327001,422
CA-3-D004328001,422
CA-3-D004603001,110
CA-3-D004678001,110
CA-3-D004711001,110
CA-3-D004809001,110
CA-3-D004859001,110
CA-3-D004901001,311
CA-3-D004927001,110
CA-3-D004939001,110
CA-3-D004986001,110
CA-3-M012133001,110
CA-3-M012169001,311
CA-3-M012294005,110
CA-3-M012294006,110
CA-3-M012415001,110
CA-3-M012500002,110
CA-3-M012945001,110
CA-3-M013027001,110
CA-3-M013060001,110
CA-3-M013089001,311
CA-3-M013099001,311
CA-3-M013104001,110
CA-3-M013162002,110
CA-3-M013162003,110
CA-3-M013283001,110
CA-3-M013302001,110
CA-3-M013307001,311
CA-3-M013355001,110
CA-3-M013380001,110
CA-3-M013398001,110
CA-3-M013427001,311
CA-3-M013440001,110
CA-3-M013512001,311
CA-3-M013533001,110
CA-3-M013543001,110
CA-3-M013573001,110
CA-3-M013574001,110
CA-3-M013609001,311
CA-3-M013610001,110
CA-3-M013611001,110
CA-3-M013613001,110
CA-3-M013665001,110
CA-3-M013665002,110
CA-3-M013665003,110
CA-3-M013696001,110
CA-3-M013704001,422
CA-3-M013705001,422
CA-3-M013737001,110
CA-3-M013737002,110
CA-3-M013772001,110
CA-3-M013774001,110
CA-3-M013783001,110
CA-3-M013806001,110
CA-3-M013808001,110
CA-3-M013809001,110
CA-3-M013850001,422
CA-3-M013882001,311
CA-3-M013882002,311
CA-3-M013903001,110
CA-3-P000014002,110
CA-3-P000014004,110
CA-3-P000038006,110
CA-3-P000723002,110
CA-3-P000723003,110
CA-3-P001034002,110
CA-3-P001034003,110
CA-3-P001036002,110
CA-3-P001675002,110
CA-3-P002808003,110
CA-3-P003095002,110
CA-3-P005066001,110
CA-3-P005230001,110
CA-3-P005232001,110
CA-3-P005258001,110
CA-3-P005390001,110
CA-3-P005393001,110
CA-3-P005421001,110
CA-3-P005464001,110
CA-3-P005621001,110
CA-3-P005746001,110
CA-3-P005771001,110
CA-3-P005782001,110
CA-3-P005874001,110
CA-3-P005930001,110
CA-3-P005985001,110
CA-3-P006115001,110
CA-3-P006153001,110
CA-3-P006167001,422
CA-3-P006167002,422
CA-3-P006167004,110
CA-3-P006232002,110
CA-3-P006232003,110
CA-3-P006240001,422
CA-3-P006240002,422
CA-3-P006361001,110
CA-3-P006405002,110
CA-3-P006570001,422
CA-3-P006570002,110
CA-3-P006571001,110
CA-3-P006586001,110
CA-3-P006586002,110
CA-3-P006649001,110
CA-3-P006649002,110
CA-3-P006667001,110
CA-3-P006730001,110
CA-3-P006736001,110
CA-3-P006741001,110
CA-3-P006755001,110
CA-3-P006774001,110
CA-3-P006785001,110
CA-3-P006785002,110
CA-3-P006828001,110
CA-3-P006828002,110
CA-3-P006890001,110
CA-3-P006890002,110
CA-3-P006960001,110
CA-3-P006963002,110
CA-3-P007086001,110
CA-3-P007294001,110
CA-3-P007301001,110
CA-3-P007316001,110
CA-3-P007317001,110
CA-3-P007341001,110
CA-3-P007343001,110
CA-3-P007389001,110
CA-3-P007520001,110
CA-3-P007526001,110
CA-3-P007528001,110
CA-3-P007528002,110
CA-3-P007551001,110
CA-3-P007551002,110
CA-3-P007598001,110
CA-3-P007667001,110
CA-3-P007682001,110
CA-3-P007696002,110
CA-3-P007729001,110
CA-3-P007731001,110
CA-3-P007814001,110
CA-3-P007844001,422
CA-3-P007845001,110
CA-3-P007918001,110
